author_name,affiliation,city,country,publication_date,title,latitude,longitude,cluster
Larasati Zr D.,Institut Teknologi Bandung,Bandung,Indonesia,2017-12-30,Embodied Energy Calculation in Mitigating Environmental Impact of Low-Cost Housing Construction,-6.9215529,107.6110212,6
Frans R.,Hasanuddin University,Makassar,Indonesia,2017-12-30,Finite element modelling of composite castellated beam,-5.1342962,119.4124282,-1
Ma'Ruf M.F.,Universitas Jember,Jember,Indonesia,2017-12-30,A Review on the Use of Bamboo for Earthwork Construction,-8.1688563,113.7021772,6
Aziiz A.D.,Institut Teknologi Bandung,Bandung,Indonesia,2017-12-30,"Buoyancy-Driven Ventilation Generated by the Double-Skin Façade of a High-Rise Building in Tropical Climate: Case Study Bandung, Indonesia",-6.9215529,107.6110212,6
Soemardi B.W.,Institut Teknologi Bandung,Bandung,Indonesia,2017-12-30,Using BIM as a Tool to Teach Construction Safety,-6.9215529,107.6110212,6
Noor Sheena Herayani H.,Universiti Malaysia Sabah,Kota Kinabalu,Malaysia,2017-12-30,"Deaggregation of probabilistic ground motions in the Kota Kinabalu and Lahad Datu towns of Sabah, Malaysia",5.9780066,116.0728988,-1
Qu B.,Air Force Engineering University China,Xi'an,China,2017-12-30,Analysis on the deflection and load transfer capacity of a prefabricated airport prestressed concrete pavement,34.261004,108.9423363,2
Guan B.W.,Chang'an University,Xi'an,China,2017-12-30,Investigations on the effects of cooling coatings on the pavement performance using an optimization data method,34.261004,108.9423363,2
Mohajerani A.,RMIT University,Melbourne,Australia,2017-12-30,Expanded polystyrene geofoam in pavement construction,-37.8142454,144.9631732,5
Xiao H.,National University of Singapore,Singapore City,Singapore,2017-12-30,Effectiveness study for fly ash cement improved marine clay,1.2899175,103.8519072,7
Li S.,Changsha University of Science and Technology,Changsha,China,2017-12-30,A new structure for continuously reinforced concrete pavement with road performance evaluation,28.1450774,113.2384362,2
Fraile-Garcia E.,Universidad de La Rioja,Logrono,Spain,2017-12-30,Implementing a technically and economically viable system for recording data inside concrete,42.4661196,-2.4396676,0
Ho C.H.,Dahan Institute of Technology,Hualien,Taiwan,2017-12-30,Characteristics of water-retaining porous ceramics with sandblasting waste,23.9913421,121.6197276,2
Ivanco M.,NASA Langley Research Center,Hampton,United States,2017-12-30,Sensitivity analysis method to address user disparities in the analytic hierarchy process,37.0264414,-76.3442846,1
Abd Elaziz M.,Faculty of Science,Zagazig,Egypt,2017-12-30,An improved Opposition-Based Sine Cosine Algorithm for global optimization,30.5853431,31.5035127,0
Abd Elaziz M.,Wuhan University of Technology,Wuhan,China,2017-12-30,An improved Opposition-Based Sine Cosine Algorithm for global optimization,30.5951051,114.2999353,2
de A. Araújo R.,Instituto Federal do Sertão Parnambucano,Unknown,Brazil,2017-12-30,A class of hybrid multilayer perceptrons for software development effort estimation problems,-14.97491065,-54.05357760653298,8
Zhu Q.,IEA Clean Coal Centre,London,United Kingdom,2017-12-29,Innovative power generation systems using supercritical CO<inf>2</inf> cycles,51.5074456,-0.1277653,0
Shih C.H.,National Chi Nan University,Puli,Taiwan,2017-12-29,Dopant-segregated metal source tunnel field-effect transistors with schottky barrier and band-to-band tunneling,23.9666667,120.9691462,2
Tabara O.,Electrical Engineering Co.,Bucharest,Romania,2017-12-29,Smart grid developments in system engineering,44.4361414,26.1027202,0
Marinescu A.,ASTR,Bucharest,Romania,2017-12-29,The way to engineering EV wireless charging: DACIA electron,44.4361414,26.1027202,0
Wang P.,"Marvell Semiconductor, Inc.",Sunnyvale,United States,2017-12-29,A unique centralized-management methodology block/architecture and a novel random input stimulus controlled variable table implementation for the latest marvell ethernet PHY UVM verification platform,37.3688301,-122.036349,1
Pflaum B.,Karlsruher Institut für Technologie,Karlsruhe,Germany,2017-12-29,Using network analysis to evaluate success factors for new product development,49.0068705,8.4034195,0
